"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Colin Selby","BAL","RP","43.5","45","2","0","3.97","1.32","19","39","18","5","42","0","2","0"
"Trey Gibson","BAL","SP","11.8","11","0","0","4.25","1.34","6","11","5","1","3","3","1","0"
"Luis Medina","ATH","SP","80.9","72","4","0","4.68","1.42","42","78","37","11","38","9","5","0"
"Andre Granillo","WSH","RP","35.9","35","2","0","4.39","1.35","18","32","16","5","33","0","2","0"
"Tyler Alexander","TEX","SP,RP","68.7","57","3","0","4.55","1.29","35","70","19","11","52","2","4","0"
"Connor Prielipp","MIN","SP","55.3","51","3","0","4.23","1.36","26","54","21","6","35","4","3","0"
"Daniel Espino","CLE","SP","21.3","22","1","0","4.23","1.39","10","19","10","3","18","1","1","0"
"Mitch Bratt","ARI","SP","10.6","9","1","0","4.37","1.27","5","11","3","2","3","2","1","0"
"Ty Johnson","TB","SP,RP","12.3","13","1","0","4.10","1.25","6","11","5","2","3","3","1","0"
"Cooper Criswell","SEA","RP","46.8","38","2","0","4.08","1.30","21","46","15","6","28","3","2","0"
"Gunnar Hoglund","ATH","SP","42.5","32","2","0","4.90","1.35","23","44","13","7","22","5","2","0"
"Andrew Alvarez","WSH","SP","71.1","52","3","0","4.41","1.40","35","72","28","8","26","11","4","0"
"Ryan Fernandez","STL","RP","48.0","49","3","0","4.09","1.35","22","44","21","5","47","0","3","0"
"Joe Jimenez","ATL","RP","22.3","26","1","0","3.69","1.17","9","19","7","2","22","0","1","0"
"Dauri Moreta","","RP","32.5","38","2","0","3.85","1.26","14","27","14","4","33","0","2","0"
"Craig Yoho","MIL","RP","37.6","40","2","0","3.89","1.32","16","33","17","4","37","0","2","0"
"Yariel Rodriguez","TOR","RP","40.0","40","2","0","4.09","1.33","18","35","19","5","38","0","2","0"
"Tim Hill","NYY","RP","64.8","38","4","0","4.06","1.35","29","68","19","7","65","0","3","0"
"Casey Legumina","SEA","RP","51.4","50","3","0","4.16","1.31","24","47","20","7","50","0","3","0"
"Manuel Rodriguez","TB","RP","15.3","14","1","0","3.70","1.24","6","14","5","1","15","0","1","0"
"Michael Kelly","ATH","RP","59.0","50","3","3","4.59","1.41","30","58","26","8","58","0","3","0"
"Tyler Phillips","MIA","RP","67.7","49","3","2","4.43","1.39","33","71","23","8","59","0","3","0"
"Daniel Lynch","KC","RP","60.1","45","3","0","4.35","1.35","29","61","20","8","53","0","3","0"
"Eric Orze","MIN","RP","54.8","55","3","0","4.15","1.36","25","50","24","7","53","0","3","0"
"Blade Tidwell","SF","SP,RP","36.4","32","2","0","4.50","1.38","18","35","15","5","19","3","2","0"
"Austin Warren","NYM","RP","40.7","37","2","0","4.31","1.32","19","39","15","6","38","0","2","0"
"Miguel Ullola","HOU","SP,RP","17.8","19","1","0","4.36","1.40","9","15","10","2","17","0","1","0"
"Craig Kimbrel","NYM","RP","27.9","33","2","0","4.13","1.33","13","23","14","4","28","0","2","0"
"Tomoyuki Sugano","COL","SP","118.7","75","6","0","5.18","1.42","68","139","30","21","22","22","9","1"
"Cristian Mena","ARI","SP,RP","21.3","20","1","0","4.16","1.33","10","20","8","3","14","2","1","0"
"Alex Lange","KC","RP","47.4","50","3","0","4.06","1.41","21","41","26","4","48","0","3","0"
"Nate Pearson","HOU","RP","48.2","48","2","0","4.38","1.36","23","44","21","7","46","0","2","0"
"Hayden Wesneski","HOU","SP","25.9","25","2","0","4.22","1.24","12","24","8","4","17","2","1","0"
"James McArthur","KC","RP","31.7","29","2","0","4.15","1.31","15","31","10","4","31","0","2","0"
"Colton Gordon","HOU","SP,RP","38.7","34","2","0","4.36","1.29","19","39","11","6","30","1","2","0"
"Keider Montero","DET","SP,RP","58.4","49","3","0","4.54","1.35","29","58","21","9","27","5","3","0"
"Tink Hence","STL","SP","18.2","17","1","0","4.15","1.34","8","17","8","2","10","2","1","0"
"Bryan Hudson","NYM","RP","40.8","39","2","0","3.95","1.31","18","37","17","5","39","0","2","0"
"Zach Maxwell","CIN","RP","35.5","37","1","0","4.65","1.48","18","33","20","5","35","0","2","0"
"David Davalillo","TEX","SP","16.3","15","1","0","3.86","1.23","7","14","7","2","4","4","1","1"
"Charlie Morton","","SP,RP","80.4","81","5","0","4.78","1.45","43","79","38","12","16","16","6","0"
"Marcus Stroman","","SP","59.8","43","4","0","4.64","1.44","31","62","23","7","13","11","4","0"
"Shane Drohan","MIL","SP","32.5","32","2","0","4.09","1.32","15","29","14","4","27","1","2","0"
"Josh Sborz","TEX","RP","42.1","43","2","0","4.14","1.33","19","38","17","5","41","0","2","0"
"Gavin Stone","LAD","SP","26.9","24","2","0","4.31","1.30","13","26","9","4","12","3","1","0"
"Gordon Graceffo","STL","RP","59.4","47","3","0","4.35","1.36","29","61","20","7","51","0","3","0"
"Edgardo Henriquez","LAD","RP","38.0","41","2","0","4.27","1.37","18","34","18","5","38","0","2","0"
"Dylan Dodd","ATL","RP","43.9","38","2","0","4.17","1.28","20","45","12","6","40","0","2","0"
"Jason Alexander","HOU","SP,RP","53.4","41","3","0","4.54","1.38","27","55","18","7","27","6","3","0"
"Ben Hess","NYY","SP","9.3","9","1","0","4.34","1.39","5","9","5","2","2","2","1","0"
"Justin Bruihl","STL","RP","50.0","45","3","0","4.05","1.34","23","48","19","5","51","0","3","0"
"Brent Suter","LAA","SP,RP","61.8","48","3","0","4.36","1.33","30","63","19","8","57","0","3","0"
"Hayden Harris","ATL","RP","34.9","39","2","0","3.95","1.30","15","30","15","4","35","0","2","0"
"Taylor Clarke","ARI","RP","54.9","45","2","0","4.35","1.29","27","55","16","8","53","0","2","0"
"Jonathan Cannon","CWS","SP,RP","94.0","70","4","0","4.89","1.40","51","98","33","15","31","13","6","0"
"Jonathan Loaisiga","ARI","RP","40.4","34","2","0","3.93","1.31","18","40","13","4","40","0","2","0"
"Bowden Francis","TOR","SP","22.0","20","1","0","4.51","1.28","11","21","8","5","5","5","1","0"
"Nick Raquet","STL","RP","31.5","25","2","0","4.33","1.38","15","32","11","4","30","0","2","0"
"Lucas Braun","ATL","SP","7.8","7","1","0","4.05","1.22","4","7","3","1","2","2","0","0"
"Steven Cruz","KC","RP","44.5","41","2","0","4.22","1.34","21","41","19","5","45","0","2","0"
"Jose Fermin","LAA","RP","43.4","46","2","0","4.39","1.38","21","38","21","7","45","0","3","0"
"Luis Mey","CIN","RP","32.3","30","2","0","4.63","1.54","17","30","20","4","33","0","2","0"
"Carlos Vargas","SEA","RP","56.7","43","3","0","4.11","1.34","26","56","20","6","56","0","3","0"
"Jason Foley","SF","RP","27.5","23","1","0","3.59","1.24","11","26","8","2","28","0","1","0"
"Zack Kelly","BOS","SP,RP","55.8","54","3","0","4.33","1.39","27","52","26","7","53","0","3","0"
"Emiliano Teodo","TEX","RP","15.8","16","1","0","4.63","1.54","8","14","10","2","16","0","1","0"
"Yaramil Hiraldo","BAL","RP","36.0","38","2","0","4.13","1.27","17","33","13","5","35","0","2","0"
"Tony Gonsolin","","SP","16.9","16","1","0","4.57","1.36","9","15","8","3","4","3","1","0"
"Chase Lee","TOR","RP","24.1","24","1","0","4.03","1.25","11","23","8","3","23","0","1","0"
"Andrew Walters","CLE","RP","30.8","36","2","0","4.11","1.34","14","26","16","4","31","0","2","0"
"Chris Murphy","CWS","RP","40.5","37","2","0","4.27","1.39","19","37","19","5","34","0","2","0"
"Ron Marinaccio","SD","RP","41.7","40","2","0","4.35","1.36","20","38","19","6","40","0","2","0"
"Jaden Hill","COL","RP","45.9","46","2","0","4.37","1.37","22","45","18","6","45","0","3","0"
"Andrew Chafin","MIN","RP","48.5","52","3","0","4.13","1.41","22","44","24","5","51","0","3","0"
"Evan Sisk","PIT","RP","48.1","47","2","0","3.92","1.37","21","45","21","4","48","0","2","0"
"Matt Pushard","STL","RP","52.5","46","3","0","4.27","1.35","25","51","20","7","51","0","3","0"
