"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Bradley Blalock","MIA","SP","21.0","14","1","0","5.22","1.53","12","23","9","3","18","1","1","0"
"Anthony Molina","ATL","RP","19.8","14","1","0","5.37","1.59","12","23","8","3","10","0","1","0"
"Thomas Hatch","ARI","SP,RP","15.9","12","1","0","4.93","1.45","9","17","6","2","7","0","1","0"
"Carlos Carrasco","ATL","SP","12.2","9","1","0","5.31","1.49","7","14","5","2","3","3","1","0"
"Max Kranick","","RP","4.8","4","1","0","3.75","1.25","2","5","2","1","4","0","0","0"
"Yunior Marte","CIN","RP","11.9","10","1","0","4.88","1.45","6","12","5","2","12","0","1","0"
"Nick Hernandez","ATH","RP","8.3","9","0","0","5.03","1.41","5","8","4","1","7","0","0","0"
"Lucas Sims","CWS","RP","15.4","15","0","0","5.22","1.53","9","14","10","2","17","0","1","0"
"Travis Sykora","WSH","SP","16.5","17","1","0","4.91","1.58","9","16","11","2","16","1","1","0"
"Alexander Alberto","CWS","RP","28.9","23","1","0","5.14","1.59","17","29","16","4","29","0","2","0"
"Matt Krook","ATH","RP","9.6","10","1","0","4.70","1.57","5","8","8","1","9","0","1","0"
"Ky Bush","CWS","SP","14.5","10","1","0","5.20","1.54","8","15","8","2","4","3","1","0"
"Jack Kochanowicz","LAA","SP","41.8","27","2","0","4.95","1.47","23","45","16","6","26","4","3","0"
"Elvin Rodriguez","","RP","10.1","8","1","0","4.90","1.43","6","11","4","2","3","3","1","0"
"Christian Roa","HOU","RP","7.8","7","1","0","4.64","1.48","4","7","5","1","6","1","0","0"
"Austin Pope","ATL","RP","8.6","9","1","0","4.72","1.57","5","9","5","1","5","0","1","0"
"Connor Seabold","TOR","RP","13.0","11","1","0","5.20","1.46","8","14","6","3","7","1","1","0"
"Connor Thomas","MIL","RP","10.9","8","1","0","4.54","1.47","6","12","4","2","4","1","1","0"
"Andry Lara","WSH","RP","23.8","18","1","0","4.88","1.50","13","25","11","3","16","0","1","0"
"Wilmer Flores","","SP","1.5","1","0","0","6.21","1.38","1","2","1","0","1","1","0","0"
"Tyler Zuber","MIA","RP","12.6","13","1","0","5.36","1.55","8","13","7","2","10","0","1","0"
"Luis Peralta","COL","RP","30.6","29","1","0","5.25","1.61","18","32","18","5","32","0","2","0"
"Austin Cox","","RP","16.3","15","1","0","5.25","1.57","10","17","9","3","10","0","1","0"
"Carson Ragsdale","","SP,RP","12.4","11","1","0","5.08","1.61","7","13","8","2","5","1","1","0"
"Anthony Maldonado","HOU","RP","12.6","13","1","0","5.35","1.59","8","13","8","2","11","0","1","0"
"Anthony Veneziano","","RP","15.3","13","1","0","4.71","1.60","8","16","9","2","15","1","1","0"
"Darren McCaughan","CIN","SP,RP","11.1","9","1","0","5.28","1.44","7","13","4","3","4","1","1","0"
"Antonio Senzatela","COL","SP,RP","78.8","48","3","0","5.49","1.58","48","97","27","13","43","6","5","0"
"Tyler Mattison","DET","RP","13.2","13","1","0","4.83","1.57","7","12","9","2","14","0","1","0"
"Beau Burrows","PIT","RP","14.3","12","1","0","5.04","1.58","8","14","9","3","14","0","1","0"
"Jake Woodford","TB","SP,RP","19.2","15","1","0","5.17","1.54","11","21","9","3","11","1","1","0"
"Michael Darrell-Hicks","PIT","RP","10.8","9","0","0","4.83","1.47","6","11","5","2","9","0","0","0"
"Davis Daniel","CIN","SP","19.3","15","1","0","5.38","1.53","12","21","9","4","6","2","2","0"
"Omar Cruz","SD","RP","12.7","13","1","0","5.30","1.69","8","12","10","2","6","1","1","0"
"Alec Marsh","KC","SP","2.3","2","0","0","3.90","1.52","1","3","1","1","1","1","0","0"
"Sean Reynolds","","RP","17.1","16","1","0","4.99","1.69","10","15","14","2","13","0","1","0"
"Sem Robberse","STL","SP","12.3","9","1","0","5.14","1.63","7","14","7","2","10","1","1","0"
"Jared Shuster","STL","SP,RP","11.8","9","1","0","5.34","1.65","7","14","6","2","7","1","1","0"
"Eduardo Salazar","MIN","RP","13.6","11","1","0","5.28","1.69","8","15","8","2","14","0","1","0"
"Michael Mercado","PHI","RP","9.3","8","1","0","5.34","1.73","6","9","7","2","6","0","1","0"
"Owen White","","SP,RP","11.8","8","1","0","5.32","1.69","7","13","8","2","6","1","1","0"
"Nick Frasso","LAD","SP,RP","10.7","8","1","0","5.49","1.78","7","11","8","2","11","1","1","0"
"Shelby Miller","CHC","RP","3.4","4","0","0","3.84","1.20","1","3","1","0","3","0","0","0"
"Logan VanWey","HOU","RP","9.1","9","1","0","5.96","1.93","6","9","9","2","8","0","1","0"
"Nestor German","BAL","SP","2.2","2","0","0","4.04","1.35","1","2","1","1","1","1","0","0"
"Nathan Wiles","","RP","7.4","6","1","0","4.86","1.42","4","8","3","2","6","1","0","0"
"Levi Wells","BAL","SP","1.8","2","0","0","5.10","1.70","1","2","1","1","1","1","0","0"
"Michael Arias","NYY","RP","12.5","13","1","0","5.77","2.04","8","12","14","2","11","0","1","0"
"Casey Kelly","","RP","10.2","5","1","0","6.18","1.86","7","13","6","2","5","1","1","0"
"Logan Allen","CLE","SP","121.0","97","6","0","4.55","1.41","61","123","47","17","26","22","8","0"
"Luis Garcia","","SP","35.8","36","2","0","4.12","1.25","16","33","12","5","22","4","2","0"
"Jake Miller","DET","SP","10.2","8","2","0","4.32","1.42","5","11","3","1","10","0","2","0"
"Logan Gillaspie","SD","RP","22.9","18","1","0","4.60","1.38","12","24","8","3","22","0","1","0"
"Christian Montes De Oca","ARI","RP","12.2","10","1","0","4.81","1.40","7","13","5","2","5","0","1","0"
"Tayron Guerrero","BOS","RP","40.0","33","1","0","5.04","1.54","22","43","18","6","40","0","2","0"
"Eric Torres","BAL","RP","6.0","6","0","0","4.98","1.60","3","6","4","1","6","0","0","0"
""
""
